Sum of co2_per_capita,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.21,0.182,0.095,0.084,0.075,0.068,0.062,0.056,0.052,0.04,0.036,0.037,0.046,0.05,0.036,0.051,0.062,0.084,0.152,0.237,0.288,0.402,0.328,0.262,0.233,0.23,0.191,0.189,0.224,0.319,0.312
Africa,1.052,1.068,1.01,1.043,1.029,1.077,1.066,1.079,1.085,1.05,1.094,1.064,1.049,1.109,1.16,1.155,1.161,1.176,1.197,1.176,1.172,1.181,1.146,1.123,1.184,1.119,1.119,1.113,1.086,1.077,0.99
Albania,1.657,1.289,0.769,0.725,0.608,0.664,0.643,0.494,0.561,0.953,0.96,1.029,1.199,1.357,1.322,1.36,1.255,1.262,1.423,1.431,1.509,1.718,1.602,1.697,1.941,1.555,1.556,1.838,1.642,1.688,1.576
Algeria,2.979,2.985,2.956,2.965,3.053,3.303,3.307,2.925,3.531,2.993,2.649,2.664,2.807,2.822,2.687,3.212,2.979,3.173,3.139,3.401,3.275,3.268,3.427,3.472,3.662,3.768,3.673,3.743,3.824,3.871,3.535
Andorra,7.461,7.177,6.907,6.73,6.489,6.656,7.059,7.235,7.655,7.969,8.013,7.78,7.584,7.31,7.352,7.294,6.74,6.514,6.423,6.117,6.117,5.862,5.912,5.897,5.828,5.966,6.068,6.044,6.423,6.505,6.035
Angola,0.43,0.413,0.408,0.44,0.286,0.785,0.724,0.494,0.473,0.575,0.58,0.571,0.719,0.496,0.997,0.978,1.097,1.195,1.175,1.224,1.236,1.252,1.346,1.277,1.236,1.206,1.089,0.953,0.791,0.738,0.675
Anguilla,5.768,5.614,5.889,6.949,6.827,6.683,6.881,6.702,7.202,7.342,7.819,8.269,8.103,8.554,9.886,10.307,11.287,11.68,11.506,11.063,11.181,10.498,10.359,8.404,9.865,10.777,10.661,9.795,9.696,9.378,8.227
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,3.516,3.354,3.24,3.286,3.217,3.255,3.394,3.577,3.703,3.778,3.856,3.844,4.212,4.435,4.56,4.588,4.651,4.84,4.891,5.111,5.161,4.967,5.066,5.045,4.988,5.13,5.194,5.145,5.176,5.008,4.395
Argentina,3.436,3.552,3.616,3.467,3.553,3.668,3.823,3.86,3.867,4.039,3.861,3.595,3.301,3.535,4.08,4.151,4.444,4.391,4.693,4.42,4.566,4.605,4.591,4.506,4.425,4.467,4.389,4.274,4.082,3.742,3.473
Armenia,2.533,2.079,1.703,0.766,0.826,1.067,0.819,1.044,1.093,0.987,1.137,1.158,1.014,1.145,1.23,1.468,1.488,1.739,1.917,1.511,1.478,1.727,1.993,1.91,1.924,1.87,1.772,1.88,1.974,1.869,1.988
Aruba,7.841,8.221,7.893,8.946,8.598,8.804,8.718,8.876,9.236,9.097,26.17,25.914,25.65,26.399,26.494,27.179,26.927,27.871,26.207,25.895,24.651,24.486,13.146,8.346,8.403,8.604,8.421,8.45,8.239,8.006,7.055
Asia,2.055,2.12,2.179,2.243,2.305,2.363,2.422,2.419,2.312,2.351,2.431,2.445,2.55,2.76,2.972,3.149,3.321,3.46,3.598,3.703,3.928,4.172,4.293,4.308,4.334,4.317,4.294,4.35,4.442,4.48,4.379
Asia (excl. China & India),3.033,3.119,3.183,3.22,3.253,3.211,3.249,3.25,3.098,3.191,3.356,3.362,3.403,3.51,3.609,3.643,3.694,3.728,3.746,3.734,3.885,3.956,4.073,4.023,4.043,4.092,4.097,4.152,4.139,4.163,3.959
Australia,16.471,16.398,16.454,16.55,16.86,17.119,17.391,17.79,18.222,18.448,18.525,18.779,18.922,19.019,19.455,19.209,19.355,19.216,19.203,18.451,18.26,17.985,17.581,16.907,16.92,16.851,17.143,16.87,16.708,16.447,15.368
Austria,8.045,8.458,7.692,7.686,7.68,8.011,8.401,8.372,8.318,8.153,8.196,8.662,8.844,9.473,9.452,9.58,9.269,8.913,8.808,8.037,8.561,8.267,7.911,7.919,7.447,7.645,7.684,7.891,7.486,7.589,6.732
Azerbaijan,7.094,6.8,7.518,6.385,5.459,4.284,3.977,3.76,3.963,3.547,3.633,3.512,3.581,3.662,3.797,4.016,4.532,3.491,4.018,3.57,3.391,3.605,3.783,3.752,3.89,3.844,3.806,3.731,3.703,3.854,3.72
Bahamas,7.894,7.651,7.024,6.434,6.416,6.565,6.387,5.597,6.846,6.915,6.798,6.429,6.622,6.611,6.423,5.865,5.601,5.549,5.576,5.576,5.358,5.879,6.359,7.365,6.554,5.708,5.235,5.49,7.002,6.772,5.945
Bahrain,25.015,23.259,20.788,27.244,26.846,26.231,26.942,29.06,29.927,28.26,28.278,20.182,21.585,21.535,21.55,22.273,20.264,25.843,26.628,23.71,23.432,22.272,20.785,23.573,23.066,23.669,22.004,21.814,20.778,20.984,20.546
Bangladesh,0.136,0.14,0.142,0.146,0.156,0.183,0.183,0.192,0.189,0.2,0.208,0.239,0.241,0.248,0.262,0.271,0.296,0.299,0.314,0.337,0.366,0.379,0.402,0.404,0.427,0.469,0.484,0.507,0.512,0.578,0.564
